imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt10151074,3000.0,0.0,NR,en,2021-04-05,1.813,0.0,0.0
tt10151854,125000000.0,0.0,PG-13,en,2023-03-15,62.555,0.0,0.0
tt10152722,0.0,0.0,,de,2021-04-23,1.708,6.0,6.0
tt10152736,0.0,0.0,,ta,2021-09-10,4.819,5.0,5.0
tt10153510,400000.0,0.0,,es,2022-03-10,1.89,0.0,0.0
tt10155748,0.0,0.0,,en,2023-03-23,2.204,0.0,0.0
tt10155932,0.0,0.0,PG,en,2021-09-03,73.914,6.5,1084.0
tt10156216,0.0,0.0,,en,2021-08-26,0.719,0.0,0.0
tt10156586,0.0,0.0,,en,2021-01-11,2.519,0.0,0.0
tt10160886,0.0,0.0,G,en,2022-05-11,17.384,5.948,67.0
tt10160896,0.0,0.0,,en,2021-06-11,2.668,0.0,0.0
tt10160974,0.0,0.0,R,en,2021-10-01,233.149,7.1,182.0
tt1016150,0.0,0.0,R,de,2022-10-07,488.562,7.757,1309.0
tt10164206,0.0,0.0,,en,2021-06-28,4.73,5.5,2.0
tt10165918,0.0,0.0,,en,2021-08-27,2.797,4.0,1.0
tt10166508,0.0,0.0,,en,2021-10-15,3.922,6.9,9.0
tt10166880,0.0,0.0,,sq,2021-09-02,0.6,6.0,1.0
tt10168094,0.0,0.0,,en,2021-09-06,1.117,0.0,0.0
tt10168670,18000000.0,14134900.0,R,en,2022-11-18,218.639,7.484,480.0
tt10171796,0.0,0.0,,es,2022-10-26,316.88,7.197,114.0
tt10171848,0.0,0.0,,ru,2021-11-18,1.4,0.0,0.0
tt10187208,0.0,0.0,PG,en,2021-11-25,75.14,7.5,431.0
tt10187766,0.0,0.0,,en,2021-11-04,0.6,0.0,0.0
tt10188398,0.0,0.0,NR,en,2021-02-19,3.352,8.0,5.0
tt10189536,0.0,0.0,,en,2021-09-23,4.454,5.0,12.0
tt10192406,0.0,0.0,R,en,2022-10-28,47.079,6.799,152.0
tt10192704,0.0,0.0,,en,2021-04-09,3.841,7.2,5.0
tt10195722,0.0,0.0,,en,2021-04-01,1.222,6.0,2.0
tt10196620,0.0,0.0,R,en,2021-11-26,6.451,6.0,12.0
tt10197632,0.0,0.0,,en,2021-09-21,3.045,3.5,2.0
tt10198564,0.0,0.0,R,en,2022-08-19,109.881,5.778,27.0
tt10203594,0.0,0.0,,en,2021-10-26,0.6,10.0,1.0
tt10203806,0.0,0.0,,en,2022-01-09,0.6,10.0,1.0
tt10204512,500000.0,0.0,,en,2021-04-13,3.934,3.3,6.0
tt10207710,0.0,0.0,R,en,2021-09-03,16.405,5.9,26.0
tt10216812,3000.0,0.0,,en,2021-01-01,1.843,0.0,0.0
tt10220406,0.0,0.0,,en,2021-09-14,3.477,7.4,4.0
tt10221732,0.0,0.0,PG-13,en,2021-11-17,1.923,1.0,1.0
tt10223460,23000000.0,44000000.0,PG-13,en,2022-02-09,42.595,6.923,674.0
tt10225926,0.0,0.0,,en,2021-05-17,3.64,7.3,2.0
tt10228134,0.0,0.0,R,en,2021-07-15,98.326,6.7,919.0
tt10230376,0.0,0.0,,en,2021-04-29,0.984,0.0,0.0
tt10230994,0.0,0.0,R,en,2021-08-04,106.366,6.3,500.0
tt10231726,0.0,0.0,,en,2022-03-10,296.506,3.8,6.0
tt10233718,0.0,0.0,,hi,2022-12-09,1.077,0.0,0.0
tt1023464,0.0,0.0,,en,2022-06-17,10.043,5.042,12.0
tt10234650,0.0,0.0,,zh,2021-08-27,1.534,0.0,0.0
tt10234990,0.0,0.0,,en,2022-01-10,0.6,0.0,0.0
tt10235670,0.0,0.0,,th,2022-10-13,0.869,7.0,6.0
tt10239320,0.0,0.0,,en,2021-07-09,2.967,4.7,6.0
tt10241024,0.0,0.0,,en,2021-02-14,2.502,0.0,0.0
tt10241772,0.0,0.0,,en,2022-04-01,52.123,5.786,14.0
tt10242388,0.0,0.0,R,en,2022-05-19,156.616,6.668,566.0
tt10243676,0.0,0.0,,fr,2022-02-16,3.63,6.1,12.0
tt10244550,515300.0,0.0,,uk,2021-12-09,0.6,2.0,1.0
tt10245106,0.0,0.0,,en,2022-09-07,3.311,6.5,1.0
tt10245776,0.0,0.0,,en,2021-03-09,2.34,4.3,3.0
