Genre_Name,Genre_ID
Action,0
Adult,1
Adventure,2
Animation,3
Biography,4
Comedy,5
Crime,6
Drama,7
Family,8
Fantasy,9
Film-Noir,10
Game-Show,11
History,12
Horror,13
Music,14
Musical,15
Mystery,16
News,17
Reality-TV,18
Romance,19
Sci-Fi,20
Short,21
Sport,22
Talk-Show,23
Thriller,24
War,25
Western,26
