Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/20/1996 22:00,madison,wi,us,,180,3 min.,Anonymous caller reports seeing a cigar-shaped craft&#44 with &quot;8 dim blue and red lights&quot; along its length.  (No other details provided.),11/2/1999,43.0730556,-89.4011111
1/21/1996 22:45,walsall (uk/england),,gb,circle,60,1 minute aprx,small red object with zore degree turning circle,4/25/2002,52.6,-2.0
1/22/1996 11:00,fullerton (xxxx w.commonwealth ave.),ca,us,triangle,360,6 minutes,OBJECT MOVED IN A WAY THAT NOTHING CAN&#33IT APPEARED TO SPIN AND TUMBLE AT THE SAME TIME&#44BUT THE MOTION LOOKED LIKE &quot;STOP ACTION&quot;&#44SO THAT,8/5/2001,33.8702778,-117.9244444
1/23/1996 20:15,minot,nd,us,,900,15 min.,,2/18/2011,48.2325000,-101.2958333
1/25/1996 21:15,redding,ca,us,,720,12 min.,Young boy reports being witness to the strange obj. reported by others over Redding.  Obj. was circular&#44 w/ no lights&#44 not an aircraft.,11/2/1999,40.5866667,-122.3905556
1/25/1996 21:30,phoenix,az,us,,1800,30 min.,Young man and his mother were witness to approximately 4 objects overhead in a formation.,11/2/1999,33.4483333,-112.0733333
1/26/1996 23:59,sedgewick,me,,,120,2 min.,Woman w/ husband witness a white orb&#44 larger than (apparent) size of moon&#44 w/ &quot;orange dots imbedded in it.&quot;  Obj. streaks off.,11/2/1999,44.304065,-68.615518
1/28/1996 21:00,peterborough (uk/england),,gb,cross,300,3-5 minutes,glowing triangles in East Anglia U.K.,10/12/2001,52.583333,-0.25
1/30/1996 23:59,oregon city,or,us,,180,2-3 min.,UFO investigator relays sighting report:  2 women witness 2 very bright lights 25 deg. above horizon&#44 3rd similar obj. approaches both.,8/5/2001,45.3575000,-122.6055556
1/31/1996 02:00,heflin  (talladega national forest at oak level),al,us,light,10800,2-3 hrs,Parked at hunting spot appx 2 a.m. with vehicle facing west. saw bright light  moving north to south at speeds not humanly possible the,4/26/1999,33.6488889,-85.5875
1/31/1996 20:15,buckhead ridge,fl,us,light,330,5 min 30 sec,I observed an object apparently making a controlled reentry or entry into the atmosphere.  It was the size of a medium sized star and ,3/7/1998,27.1300000,-80.8938889
2/1/1996 06:07,woodinville,wa,us,,60,1 minute,Man reports seeing obj. in apparent polar orbit (?)&#44 that appeared to be emitting an erratic strobing effect. (Tumbling satellite??),11/2/1999,47.7544444,-122.1622222
2/1/1996 15:00,doyline,la,us,triangle,180,3 minutes,TRIANGLER CRAFT NEAR BARKSDALE,6/20/2005,32.5355556,-93.4108333
2/1/1996 21:00,big pine,ca,us,,4,4 sec.,Woman sees large triangular obj. w/ white sparks pouring off its nose pass over Hwy 395&#44 disappear to E.  Twice size of moon.,11/2/1999,37.1650000,-118.2886111
2/1/1996 21:05,las vegas,nv,us,,30,30 sec.,UFO investigator and husband witness a very bright light in W sky. Suddenly develops  greenish-blue tail&#44 accelerates up at 45 deg..,11/2/1999,36.1750000,-115.1363889
2/1/1996 22:30,platteville,wi,us,circle,900,15 minutes,circle of lights passed over head,4/27/2007,42.7341667,-90.4783333
2/2/1996 20:00,inverkeithing (uk/scotland),,gb,triangle,7200,2 hours,Saw black triangular&#44 slow moving craft above me then experienced a time lapse unknown to myself.,7/16/2003,56.033333,-3.383333
2/2/1996 20:35,portland,or,us,,5,5 sec.,Man sees wedge-shaped obj. pass overhead at high rate of speed.  Appeared to have 6-8 rectangular&#44 white lights on each &quot;wing.&quot;,11/2/1999,45.5236111,-122.675
