Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
2/15/1955 19:00,new york city (brooklyn),ny,us,light,300,5 minutes,TWO BRIGHT STAR SHAPE OBJECTS AT 700PM GOING FROM SOUTH SKI TO THE NORTH AT HIGH  SPEEDS NO SOUND,1/10/2009,40.7141667,-74.0063889
2/15/1955 21:55,welwyn garden city (uk/england),,gb,fireball,1200,20 mins,2 orange lights like fireball stayed together quit low for 10 mins then one shot off so fast i could not beleive it,2/14/2010,51.8,-0.2
5/1/1955 15:00,holbrook,ma,us,egg,60,1 minute,I turned around and over the trees was a large yellow object shaped like a football without the tips on the ends.,4/16/2005,42.1550000,-71.0091667
5/15/1955 03:00,warrington,fl,us,fireball,300,5 minutes,fireball into pensacola bay,2/1/2007,30.3838889,-87.275
6/1/1955 02:00,bagley,mn,us,circle,7200,2 hours,I was 5 years old at the time&#44 family of 4 told they would remember nothing. I managed to break free of the (mind) control just before,5/24/1999,47.5216667,-95.3980556
6/1/1955 15:29,cincinnati,oh,us,disk,120,approx. 1-1/2 min,June 1955.  Bronze saucer/cylindrical craft; approx. 3:30 p.m.&#44 no life form sited.,6/18/2003,39.1619444,-84.4569444
6/1/1955 17:00,martinez (outskirts),ca,us,circle,1800,30 minutes,We observed a large object aprox.size &quot;football field or larger&quot; aproach us 45mph make 90 degree turn. color &quot;red glowing ember&quot;.2000 f,2/16/2000,38.0194444,-122.1330556
6/1/1955 20:30,clinton,tn,us,egg,360,5 or  6 minutes,Egg shaped craft landed on lonly country road&#44 seen by a family of five.,5/14/2002,36.1033333,-84.1319444
6/6/1955 01:00,pensacola,fl,us,light,300,5minutes,orange fireball .,12/12/2009,30.4211111,-87.2169444
6/15/1955 04:30,missouri (northwest part),mo,,light,300,5 min,I will never forget this this experience. The light is burnt into my memory liked it happened only this morning. I am now 54 years old.,3/21/2003,37.964253,-91.831833
6/15/1955 08:00,youngstown,pa,us,,60,1 min. (est.),In Retrospect...I definately saw a UFO&#33,4/16/2005,40.2797222,-79.3658333
6/15/1955 21:00,daytona beach,fl,us,fireball,120,2 minutes,Three fireballs moved slowly along the beach&#44 then suddenly accelerated and flew straight up into the night sky and disappeared.,4/16/2005,29.2105556,-81.0230556
6/15/1955 23:59,south st. paul,mn,,disk,18000,5 hours,Peter: you&quot;ll have to call me for the whole story. it will take too long to write it down. I do not know that muc,1/5/2011,44.87598,-93.02758
6/17/1955 07:00,rantoul,il,us,light,600,10 minutes,We had fallen out to the parking lot awaiting marching orders to go to (chow) it was still dark and we saw a light approaching from the,8/5/2001,40.3083333,-88.1558333
6/23/1955 07:00,beach haven park,nj,us,disk,60,1 minute,3 women hanging clothes saw a UFO come down over bay&#44 hover for 30 sec.&#44then take off so fast it seemed to disappear.,1/28/1999,39.5975000,-74.2130556
6/30/1955 00:00,quartz hill,ca,us,disk,2,seconds,childhood ufo,7/5/2008,34.6452778,-118.2172222
6/30/1955 13:00,lubbock,tx,us,cigar,120,2 minutes,Cigar shaped cloud and left very fast.,11/28/2007,33.5777778,-101.8547222
6/30/1955 21:00,dumas,tx,us,light,600,10 minutes,1955 - Air Force jets pursue lights over small Texas community.,4/16/2005,35.8655556,-101.9727778
6/30/1955 21:00,morehead city,nc,us,disk,300,5 minutes,Mid 1950&#39s Saucer in North Carolina&#44 Multiple Witnesses.,4/11/2014,34.7227778,-76.7263889
7/1/1955 14:00,carnation (on tolt river&#44 cascade mts.),wa,us,disk,480,5-8 minutes,1955 daytime sighting of a saucer craft by a family of four while on a picnic on a Sunday in the Cascade Mts. of Washington.  The famil,4/15/2000,47.6480556,-121.9127778
7/1/1955 22:00,dierks,ar,us,cigar,10,10 seconds,Cigar-shaped craft&#44 8 feet long with flashing liglhts&#44 hovering above ground,4/16/2005,34.1191667,-94.0163889
7/7/1955 14:00,uk/england (rural),,,disk,600,10 minutes,1955+/-&#44 multiple identical circular saucers in formation&#44 spinning&#44 slow-moving&#44 low&#44  30&#39 dia.?&#44 visual only.,2/1/2007,52.355518,-1.17432
7/15/1955 14:00,woodland park,co,us,oval,15,10-15 sec.,Orange disk in night sky,10/31/2003,38.9938889,-105.0563889
8/6/1955 19:00,newtown square,pa,us,circle,4.0,4 seconds,A round object going from bottom to top of moon in 4 seconds,12/12/2011,39.9866667,-75.4013889
8/8/1955 01:00,independence,mo,us,fireball,300.0,several hrs.,Flaming ball of light making right angle turns seen from front porch on a hot summer&#39s night.,5/15/2006,39.0911111,-94.4152778
8/15/1955 00:01,eagle pass,tx,us,cigar,600.0,10 minutes,Mr. Martin in 1955 has encounter with cigar shaped object in 1955,12/2/2000,28.7088889,-100.4991667
8/17/1955 21:00,covina,ca,us,disk,600.0,10 minutes,It was about 1500 ft up. It just stayed there in one spot for 10 mins then was gone.,9/29/2004,34.09,-117.8894444
10/1/1955 22:00,mono lake (area),ca,,circle,5,five seconds+/-,NO KNOWN AIRCRAFT (1955 and maybe today) COULD MAKE SUCH A SPEEDY 360 DEGREE CIRCLE MANUVER&#44 WITH NO SOUND &#33,3/19/2009,38.007059,-119.012259
10/3/1955 06:00,stanley (near) (canada),nb,ca,disk,7200,2 hours,This is a true story as given to me,4/16/2005,55.416667,-104.55
10/9/1955 18:00,west covina,ca,us,,4,4 sec,Brilliant green meteor heading north west from view in California near L.A.,1/22/2004,34.0900000,-117.8894444
10/10/1955 17:00,chester (uk/england),,gb,circle,20,20 seconds,Green/Orange circular disc over Chester&#44 England,1/21/2008,53.2,-2.916667
10/15/1955 20:00,rhinebeck,ny,us,light,2400,40 minutes,This very distant star-like point of light came very slowly up over the treeline from the Southwest&#44 stopped.,7/19/2010,41.9266667,-73.9130556
