Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/20/1951 04:30,palm springs,ca,us,cigar,3,one and a half hours,01/20/51     Palm Springs CA     light     hour and a half     bluish-white light of worm-like shape        04/09/06,5/15/2006,33.8302778,-116.5444444
2/3/1951 22:00,thompsonville,ct,us,disk,30,30 seconds,A golden-orange glowing bowl&#44 flat on top&#44 2 ft in dia hovered overhead for about 30 sec. then was gone in a streak without  a sound,7/25/2004,41.9969444,-72.5994444
2/15/1951 11:00,los angeles,ca,us,disk,2700,45min.,I was only 8yrs old but I remember it clearly. While at my grandmother&#39s house&#44 my mother sent me to our car to get a sweater for her.,4/9/2004,34.0522222,-118.2427778
3/15/1951 10:30,espanola (canada),on,ca,cigar,15,15 seconds,Large silvery cigar shaped craft was seen by a 10 year old in Northern Ontario&#44 Canada in 1951.,2/12/2004,46.25,-81.766667
6/1/1951 07:00,brandon (canada),mb,ca,disk,1800,30 minutes,Circular Craft and Man in Black Sighted in Summer of 1951 at Brandon&#44 Manitoba&#44 Canada,2/18/2001,49.833333,-99.95
6/1/1951 19:00,oklahoma (northeastern part; in-flight sighting),ok,,cigar,300,5 minutes,Observed cigar-shaped object flying next to commercial airliner for 5 minutes&#44 pilot commenting on it.,12/16/2005,35.46756,-97.516428
6/3/1951 13:00,jasper,nc,us,oval,300,5 minutes,MIDDAY OVAL SHAPE&#44 ANITQUE COLOR OBJECT SITTING HALF WAY BETWEEN TALL PINE TREES AND THE GROUND.,6/20/2005,35.2013889,-77.2069444
6/6/1951 02:00,mount pinos (beyond ski area parking),ca,,disk,7200,2 hours,2 ufos seen over mt pinos&#44  people in sleeping bags gone in morning&#44 airline pilots on ground see objects also,10/8/2007,34.811645,-119.14733
6/15/1951 20:30,greenville,ms,us,disk,300,5 minutes,Sighting of white lights in evening sky west of Greenville MS circa 1951.,2/14/2006,33.4100000,-91.0616667
6/30/1951 07:00,jackson heights,ny,us,disk,5,5 seconds,While watching a movie &quot;Captain Horatio Hornblower&quot;&#44 the HMS Southerland in a battle with a French castle and four French ships&#44(about,12/12/2009,40.7555556,-73.8858333
6/30/1951 19:00,birmingham,al,us,unknown,3,3 seconds,I was suddenly aware of most of the sky being filled with a white light. No sound. It moved away quickly (one to three seconds) with no,10/30/2006,33.5205556,-86.8025
7/1/1951 03:00,otis orchards,wa,us,disk,120,~2 minutes,Cigar shaped Disc darting back and forth (East/West)&#44 Western shores of Liberty Lake&#44 WA &amp; West&#44 @ &amp;lt; 45 degre angle to So. Horizon,12/23/2013,47.7005556,-117.1052778
7/1/1951 14:00,atlanta,ga,us,,120,minutes,As I stepped from my car I spied a really wierd trail forming in the sky over the East side of downtown Atlanta.  Being a photograher&#44,12/2/2000,33.7488889,-84.3880556
7/3/1951 12:00,green river,wy,us,sphere,420,5 to 7 min,Glowing white spherical large craft (50 to 100 ft dia) travels across mountain range near Green River&#44 Wyo,10/15/2002,41.5286111,-109.4655556
7/10/1951 23:30,provo,ut,us,disk,1800,30 minutes,Observed a gray&#44 saucer shaped object for 30 minutes&#44 clear blue sky&#44 no clouds&#44 hover&#44 move slowly&#44 and accelerate out of sight.,6/13/2002,40.2338889,-111.6577778
7/15/1951 14:00,spokane valley (otis orchards),wa,us,sphere,10800,2-3 hours,UFO over the Spokane Valley 1951,7/4/2012,47.6733333,-117.2383333
8/10/1951 01:00,sunland / tujunga,ca,,circle,4,4 seconds,Vehicle was observed in frontial&#44 overhead and trailing edge views as it decended from the North over the San Gabrial mountian range&#44 l,9/2/2005,34.259648,-118.308275
8/15/1951 13:00,altoona,pa,us,disk,1200.0,20 min. ?,This a was metalic disk object that wobbled. The reflectioin the object made is what drew our attention. Jet aircraft appeared and obje,9/2/2005,40.5186111,-78.395
11/15/1951 06:00,holloman afb,nm,,circle,10,10sec,What I saw was reported in the Albuquerque newspaper as a &quot;green fireball&quot;.  It streaked across the proving grounds at a very low eleva,3/21/2003,32.8525,-106.106389
12/1/1951 19:00,crewe (uk/england),,gb,cigar,15,15seconds,This was in the city&#44 I caught a movement over my shoulder and saw a very low black object going north.  It appeared to be floating and,3/19/2002,53.1,-2.433333
