Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1993 01:00,auckland (new zealand),,,,300,5 minutes,moving object changes direction to avoid enemy fire&#44.&#44..,6/20/2005,-36.84846,174.763332
1/10/1993 00:30,ithaca,ny,us,other,10,10 seconds,A extremly huge object flew across the sky with great speed and no sound.,8/10/1999,42.4405556,-76.4969444
1/12/1993 19:45,brookfield,wi,us,triangle,900,12 to 15 min.,A  triangle craft this huge and so low  does not seem possible but it&#39s true.,3/4/2003,43.0605556,-88.1063889
1/14/1993 03:30,assenovgrad (bulgaria),,,light,2700,45 min,UFO near Assenovgrad - Bulgaria,11/26/2003,42.013372,24.878439
1/14/1993 03:55,so. cal.,ca,,,300,5 min.,Woman repts. bizarre incidents during which she heard loud buzzing sound&#44 red light pouring through window.  Health effects.,11/2/1999,36.778261,-119.417932
1/14/1993 04:00,ridge,ny,us,unknown,120,2 minutes,A very large craft with 3 lights underneath flew slowly over the trees silently  from east to west.,6/18/2004,40.8938889,-72.8963889
1/15/1993 20:00,brisbane (qld&#44 australia),,au,formation,60,1 minute or so,Bright white lights in the sky in formation of square. 9 lights in 3 rows of 3.,8/28/2002,-27.47101,153.024292
1/15/1993 22:30,canadian,tx,us,triangle,900,15 minutes,It was triangular in shape&#44 massive in size and eerily quiet.,5/24/2005,35.9127778,-100.3816667
1/15/1993 23:00,battle creek,mi,us,light,900,1 plus hrs.,The light showed bright through the dense snow storm.,1/17/2004,42.3211111,-85.1797222
1/20/1993 18:50,gainesville,fl,us,light,900,15 minutes,A bright orange ball of light hovering approximately 500 feet above the tree line with no sound coming from it.,1/28/1999,29.6513889,-82.325
1/20/1993 21:00,oliverea,ny,us,light,300,5 minutes,two lights hovering over remote area of Catskill Mountains&#44 made no sound&#44 turned a sharp angle&#44 and sped away,5/24/2005,42.0652778,-74.4605556
