Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1975 01:00,goree/mineral wells (between),tx,,light,14400,3-4 hours,saw a plane&#44bright light beside it then beind it then back beside it a 100 feet or so. 500 Lights On Object0: Yes,7/10/2010,32.808461,-98.112822
1/1/1975 03:00,jamestown,ny,us,sphere,120,a few minutes,I was 13-15.  I was in my parent house on Moon Rd.&#44 Woke up in the middle of the night.  Looked out the window. saw a SMALL round objec,3/7/1998,42.0969444,-79.2355556
1/1/1975 08:00,eilat (israel),,,cigar,600,10minutes,Bronze cigar-shaped object that floated silently above us.,9/15/2005,29.557669,34.951925
1/1/1975 12:00,phoenix,az,us,disk,300,5 minutes,Saucer sighting in 1970s near Phoenix&#44 AZ.,3/19/2009,33.4483333,-112.0733333
1/1/1975 19:00,waverly hall,ga,us,sphere,600,5 - 10 min,Hovering Sphere,11/26/2003,32.6833333,-84.7383333
1/1/1975 20:00,denver,co,us,disk,180,3 minutes,Flying saucer seen by 100 people at drive-in theater in Denver,12/23/2002,39.7391667,-104.9841667
1/4/1975 22:40,houston,tx,us,disk,60,approx 1 min.,Witnesses saw a bluish-white-light emitting spherical object on the ground a few feet from the edge of a feeder road alongside IH45 So.,2/16/1999,29.7630556,-95.3630556
1/13/1975 01:30,uxbridge,ma,us,light,600,5 - 10 mins.,Was driving South on Route 146 through Uxbridge&#44 MA (Approx. 5 miles N of the Rhode Island border.) I was alone. Observed a bright whit,4/2/1999,42.0772222,-71.63
1/15/1975 16:00,pipestone,mn,us,sphere,300,5 minutes,1970&#39s sighting of small UFO that hovered&#44 maneuvered&#44 split into two objects&#44 then rejoined and flew off.,4/16/2005,44.0005556,-96.3172222
1/15/1975 16:00,cairo,ny,us,triangle,2100,35 min.,Silent Triangle viewed for half an hour.,2/12/2004,42.2988889,-73.9988889
1/15/1975 19:00,miami,fl,us,light,180,3 min,1975 SIGHTING-CLOSER ENCOUNTER-2000,2/18/2001,25.7738889,-80.1938889
1/15/1975 21:15,springfield,pa,us,unknown,20,20 seconds,Six or seven white lights in a row that turned red&#44 then back to white and quickly flew away,3/11/2006,39.9305556,-75.3205556
1/17/1975 18:00,albany,ny,us,light,600,10 minutes,Starlike objects,7/4/2012,42.6525000,-73.7566667
2/2/1975 11:30,pasco,wa,us,sphere,30,thirty seconds,I listened to Mr Davenport and Art Bell this past saturday&#44 a witness for Mr Davenport related an experience  while attending the hydro,1/22/2004,46.2397222,-119.0994444
2/15/1975 21:00,mukwanago/genesee (between),wi,,chevron,2400,40 minutes,Detailed sighting of Boomerang Shaped silent craft in Wisconsin in mid-70&#39s,7/5/2005,42.891092,-88.362785
2/18/1975 23:00,akin,il,us,triangle,7200,2 hrs,Awoke to see red&#44blue and&#44white lights floating around the ceiling ran outside and seen a triangular shaped object hovering above the t,4/2/1999,37.9880556,-88.7475
2/23/1975 05:00,ballarat (australia),,au,unknown,120,2 mins,many years ago my brother and i heard a &#39whirling&#39 loud sound maybe 10&#39 above our heads one early morning but could&#39nt see anythingt,6/12/2002,-37.56266,143.862579
2/27/1975 06:25,zirndorf (west germany),,de,light,3,2 to 3 seconds,Bright ball of light traveling straight up over Zirndorf&#44 (West) Germany,6/23/2010,49.45,10.95
3/1/1975 08:00,fall city,wa,us,unknown,21600,6 hours,Possible abduction experience.  2 witnesses remember glimpses of inside of craft.This was reported to Peter Davenport late afternoo,4/16/2005,47.5675000,-121.8875
3/1/1975 21:00,roseville,ca,us,disk,60,1 minute,I saw a disk shaped saucer with dome on top with windows.  Lights were on.  In Roseville&#44 trees on either side.,10/20/2005,38.7522222,-121.2869444
3/6/1975 02:00,melbourne (vic&#44 australia),,au,diamond,1800,30 minutes,The object my cousin and i saw was hexaganal in shape&#44orange in colour&#44hovering low and  at a slow velocity. It appeared to be about a,12/20/2000,-37.813938,144.963425
3/6/1975 21:00,cowiche,wa,us,disk,600,5-10 minutes,Beautiful Lights,11/9/2004,46.6700000,-120.7111111
3/8/1975 19:00,detroit,mi,us,sphere,420,5-7 minutes,Disc sighting in Detroit,2/14/2008,42.3313889,-83.0458333
3/15/1975 19:00,new cambria (2 miles se of),ks,us,rectangle,3600,1 hour,SPRING 1975 - Central Kansas - 2 Aliens,3/9/2004,38.8791667,-97.5055556
3/15/1975 19:30,sao paulo (brazil),,,light,1200,20 minutes,Hovering orange light over the train terminal of the city&#39s subway and in line with the final approach of S.P. international airport. H,6/2/1998,-23.55052,-46.633309
3/15/1975 21:00,cowiche,wa,us,circle,180,2-3 minutes,Yakima UFO in 1975,1/10/2009,46.6700000,-120.7111111
3/20/1975 16:00,carlsbad,ca,us,disk,20,20 seconds,3 flying saucers hovering above a flower field in clear daylight,2/14/2008,33.1580556,-117.3497222
4/1/1975 07:00,st. marys,pa,us,cigar,2,seconds,Cigar shaped ufo hovering over St. marys pa then shot across sky about 1975,1/21/2008,41.4277778,-78.5611111
4/1/1975 19:30,new boston,tx,us,light,1800,30 minutes,In 1975 while having a cookout for the residents of out apartment complex I witnessed 5 lighs in a V- shaped flying pattern.THey did no,6/12/2008,33.4597222,-94.4152778
4/1/1975 20:00,reno,nv,us,cigar,120,two minutes,A cigar-shaped craft about 100-200 feet&#44 hovering&#44 yellowish-orange with red and white lights. 500 Lights On Object0: Yes,4/27/2007,39.5297222,-119.8127778
4/1/1975 20:15,mildura&#44 victoria (australia),,,disk,1200,20 minutes,A Black Disc with lights going around,7/14/2013,-34.206301,142.135832
4/1/1975 23:00,waterford,ct,,circle,2400,40 minutes,A Summer Date in July 1979 Near Millstome Power Plant,3/23/2011,41.35424,-72.164816
4/10/1975 22:00,gilkey,nc,us,disk,50,50 seconds,went walking dog with two brothers&#44on what is now chilly bowl road&#44right about at train tracks we stopped to let her run&#44alarge disc sh,5/12/2009,35.4425000,-81.9780556
4/12/1975 07:00,houston,tx,us,unknown,30,30 sec.,Unusual movements observed of a bright object flying over the Houston skyline.,10/31/2003,29.7630556,-95.3630556
4/15/1975 00:00,florida (central),fl,,sphere,300,<5 mins,Huge globe which changed colors&#44 and moved incredibly quickly&#44 but silently.,10/27/2004,27.664827,-81.515754
4/15/1975 02:00,tifton,ga,us,sphere,15,15 seconds,Spring of 1975&#44 20 miles North of Tifton&#44 Ga. at 2AM while driving South on I-75,10/11/2005,31.4502778,-83.5086111
4/15/1975 02:00,onalaska,wi,us,disk,120,~2 minutes,I saw it in the night sky after coming home with my parents from a late party at my uncle&#39s house. The craft was just hovering there fo,2/16/1999,43.8844444,-91.235
4/15/1975 23:59,huntsville,al,us,light,7200,couple of hours,Light flying over the area in a scallopped pattern&#44 I walked into the woods for a few minutes that turned out to be a couple of hours.,7/15/2005,34.7302778,-86.5861111
4/18/1975 07:40,waterford,pa,us,disk,1020,17 minutes,I saw what I thought was a small odd looking plane but realized as it got closer it was no plane.,5/15/2006,41.9427778,-79.9847222
4/20/1975 17:00,mount vernon,va,us,oval,180,3 minutes,I was about 12 yrs old and saw this oval object hovering&#44 silently&#44 over my home&#44 near Ft. Belvior&#44 VA. It had circles around its diame,4/2/1999,38.7077778,-77.0863889
4/23/1975 03:45,kettering,oh,us,disk,5400,90 minutes,multi coloured disc landed in kettering ohio,12/19/2003,39.6894444,-84.1688889
4/25/1975 00:00,oil city,pa,us,disk,180,2-3 minutes,UFO over Oil City&#44 PA 1975,12/5/2001,41.4338889,-79.7066667
5/1/1975 02:40,alexandria,va,us,fireball,2,2 seconds,Pretty sure this was nothing other than a Meteor but it hit probaly a few miles from my house or thats the way it looked at least ..was,5/4/2004,38.8047222,-77.0472222
5/1/1975 17:00,reno,nv,us,disk,120,2 minutes,A disk shape hovering over my apartment building in broad daylight in a busy city.,1/3/2001,39.5297222,-119.8127778
5/5/1975 02:00,jacksonville,nc,us,sphere,240,approx.4minutes,Silent rocking 4ft silver sphere hovering 2ft of the ground with tremendous takeoff speed.,9/15/2005,34.7538889,-77.4305556
5/7/1975 02:00,lodi,oh,us,light,135,02:15,It was about 2:00AM I was seven years old&#44 I look out the window when I herd a noise that was behind the the house it was a round red l,12/9/2000,41.0333333,-82.0122222
5/15/1975 01:00,little rock,ar,us,cigar,120,2:00,I came to a four way stop sign headed east&#44 I looked to my left and noticed something in the sky&#44 low moving fast about in a 15 degree,4/15/2000,34.7463889,-92.2894444
5/15/1975 13:00,denton,tx,us,other,120,2 minutes,bright red&#44 heart shaped vehicle flying above tree tops mid-afternoon on a clear&#44 sunny day day,8/5/2009,33.2147222,-97.1327778
5/15/1975 16:00,pomeroy,wa,us,disk,1200,20 min,saucer shaped very white.,4/28/2001,46.4750000,-117.6016667
5/15/1975 20:00,lithia springs,ga,us,disk,300,5 min,A friend and i were riding down by the chattahoochee river right at dusk(on lower river road). When i saw a light off in the distance .,9/4/2003,33.7938889,-84.6605556
5/15/1975 23:59,holmen (near brookners pond),wi,us,disk,900,seemead 15 min,saw disk fly in and hover above pond&#44the pond is about 100 foot dia.We were sitting on the pier&#44exceptionaly close&#44you could see every,11/20/2001,43.9633333,-91.2561111
5/23/1975 17:00,san antonio,tx,us,disk,45,45 seconds,I was sitting on a barrel in the middle of the arena holding the reigns of my horse who began to walk around spooked a bit I look up an,6/18/2004,29.4238889,-98.4933333
5/25/1975 23:00,rochester,ny,us,flash,10,10 seconds,Prior to the full lunar eclipse I clearly saw an impact on the moon at the 11 o&#39clock portion of the moon followed by a much smaller af,4/26/1999,43.1547222,-77.6158333
6/1/1975 00:10,douglas,az,us,circle,1800,30 minutes,F4 Fighter-Intercepters scrambled to intercept object at over 90&#44000 foot altitude,9/2/2005,31.3444444,-109.5447222
6/1/1975 02:00,benton harbor,mi,us,disk,10800,3 hrs,Glowing disk shaped object hovering in same position for hrs. at times dissapear  then soon reappearing in same place .,5/12/2010,42.1166667,-86.4541667
6/1/1975 03:00,iowa city,ia,us,disk,600,10 minutes,Silver disk high in blue sky over Iowa 1975,2/1/2007,41.6611111,-91.53
6/1/1975 12:00,nashville,tn,us,triangle,300,5min,a large black triangular shaped craft that hovered with small birds circling all around it (maybe a Thunderbird sighting),8/5/2001,36.1658333,-86.7844444
6/1/1975 12:00,cerritos,ca,us,,120,1-2 minutes,A car struck an invisible object causing the car to come to a complete stop.,3/19/2009,33.8583333,-118.0638889
6/1/1975 12:00,daleville,in,us,disk,20,00:20,Saucer lands on farm,8/5/2001,40.1211111,-85.5580556
6/1/1975 12:00,lakewood,ca,us,cigar,2,2 seconds,Metallic cigar shape in east darts across noon sky into western horizon in nano-second..,5/15/2013,33.8536111,-118.1330556
6/1/1975 13:00,youngstown,oh,us,circle,300,about 5 minns,I was about 7 ( which i know may be met with skeptisims)&#44 but i was on my  back porch in a goverment housing project known as the Kimbl,12/16/2005,41.0997222,-80.6497222
6/1/1975 13:00,cold spring,ny,us,oval,900,15 minutes,bluish-grey oval - very fast &#44 over Hudson River - watched for a long time,9/2/2005,41.4200000,-73.955
6/1/1975 15:00,leeds (uk/england),,gb,light,10,10 sec,when i was 13 myself and my mother were looking at a car accident appox 200 yards from our address in seacroft leeds uk&#44we turned to co,6/6/2000,53.8,-1.583333
6/1/1975 15:00,milwaukee,wi,us,changing,600,10mins? or more,The hovercraft that watched our game,6/18/2003,43.0388889,-87.9063889
