Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1968 00:00,burlington,nj,us,circle,1200,20min,New Years night in the late 60&#39s I&#44 my fater and two brothers observed a circular shaped craft,3/19/2009,40.0711111,-74.8652778
1/1/1968 00:00,lawndale,ca,us,circle,60,1 minute,Craft with a portal,12/12/2009,33.8872222,-118.3516667
1/1/1968 01:00,udorn (thailand),,,sphere,1800,30 minute,Zig Zagging bright light over USAF Air Base in thailand 1968,5/2/2014,17.364697,102.815892
1/1/1968 21:00,west monroe,la,us,light,1200,20 minutes,On the way into town&#44 a light appeared over head and followed us.,7/5/1999,32.5091667,-92.1191667
1/1/1968 22:00,da nang (viet nam),,,unknown,600,10 min,Silent&#44 slow moving light that eventually took off very fast.,9/17/2000,16.054407,108.202167
1/1/1968 23:00,wheaton,md,us,circle,60,1 minute,Woke up by loud noise&#44 parents said to come out and see the object. i was 9 or so at time. i remember red sphere hovering in one place,11/11/2013,39.0397222,-77.0555556
1/8/1968 19:00,tucson,az,us,disk,5,5 seconds,driving home from old tucson w/ parents looked out window(night)to left saw a round shape with dif. colored lites around come up above,4/1/2000,32.2216667,-110.9258333
1/10/1968 23:00,jacksonville,fl,us,,120,three hours,Lost three hours of time--and didn&#39t think it strange.,4/16/2005,30.3319444,-81.6558333
1/12/1968 22:00,american falls,id,us,disk,20,20seconds,Large glowing green in color looking up at the bottom it was round,6/6/2000,42.7861111,-112.8536111
1/15/1968 12:00,el  escorial (spain),,,circle,7200,2 hrs,Cigar shaped object steals 2 hours of two children&#39s time,12/23/2002,40.583347,-4.127044
1/15/1968 17:30,anjean,wv,us,oval,240,4 minutes,We were standing by our car parked at Anjean&#44 WV waiting for my brother after a good day of ruff grouse hunting. The first saucer came,3/19/2009,38.0200000,-80.6333333
1/15/1968 19:30,memramcook (canada),nb,ca,other,900,+- 15 min ??,Car sized flashing light followed silently overhead,2/12/2004,46,-64.55
1/29/1968 18:00,carpinteria (santa barbara county),ca,us,sphere,600,10 minutes,witnesses watched 3 large sphere move slowly to the West&#44 hover and then each disappear.,6/6/2000,34.3988889,-119.5175
1/30/1968 01:00,dayton,oh,us,disk,600,10 minutes,Very large white saucer&#44 chased by B-52 near Wright Patterson Air force base.,7/3/2013,39.7588889,-84.1916667
1/31/1968 05:00,on plane wing,ny,,disk,30,30 sec.,a shinny silver disc &#44sitting on the planes wing&#44right side of the plane.,10/12/2001,40.705631,-73.978003
2/25/1968 22:00,ironwood,mi,us,sphere,1200,20 minutes,A small UFO we chased in a Piper Cherokee plane.  Object led us in a circle then passed below us.,3/7/1998,46.4547222,-90.1708333
3/1/1968 15:00,new york city,ny,us,disk,120,2 mins,I remember it so well to this day.  I was in class getting ready for the day&#39s dismissal time at 3 pm.  All of us had our coats on and,9/15/2005,40.7141667,-74.0063889
3/12/1968 11:00,alamosa,co,us,sphere,90,90 seconds,I exited my mobile home east of Alamosa at 11:00AM  I was carrying a camera because I was teaching Photo Journalism at the local colleg,4/16/2005,37.4694444,-105.8694444
4/1/1968 20:30,savannah,ga,us,circle,600,10 min,the date above is a guess as it was many years ago - i was headed east oh hyway 80 and saw in the north east sky +/- 7 spherical lights,4/27/2004,32.0833333,-81.1
4/3/1968 14:50,gainesville,ga,us,cigar,2,seconds,bright silver cigar shaped object appeared in the air ahead of me when I was teenager driving home after school,8/12/2008,34.2977778,-83.8241667
4/4/1968 10:00,little rock,ar,us,cylinder,180,3 minutes,Non noise&#44 no reflection&#44 cylindar object,10/31/2008,34.7463889,-92.2894444
