Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/8/1946 02:00,new york city (brooklyn),ny,us,disk,300,5 min,Huge round silver disk hovering over neighbors house&#44 writing on disk and roaring fire from disk,3/4/2008,40.7141667,-74.0063889
2/1/1946 17:00,merced,ca,us,sphere,10,10 seconds,Three luminescent chartreusse spheres moving &quot;in trail&quot; in a wide arc (34 mi) across the Valley sky.,10/11/2005,37.3022222,-120.4819444
3/15/1946 15:30,alice,tx,us,disk,20,20 secs.,An extremely noisy disc.,5/2/2003,27.7519444,-98.0694444
6/15/1946 14:00,burnaby (canada),bc,ca,cigar,900,15 min,I was six at the time&#44My mother and brother saw them as well. They were not moving&#44just stayed cloce to a cloud after which they starte,11/2/2004,49.25,-122.95
6/30/1946 19:00,blairsden,ca,us,sphere,10,10 seconds,Looked up and saw sphere or disk 30-50 feet in diameter which was white or pale green in color.,1/21/2008,39.7811111,-120.6155556
6/30/1946 21:00,index,wa,us,fireball,30,30 sec,Greenish fireball flying nearly horizontal and Greyish figure 1-2 Mo. later,1/10/2009,47.8208333,-121.5538889
7/1/1946 13:30,south portland,me,us,oval,10,10 seconds +/-,motionless&#44 dark oblong&#44 noon sky over ocean&#44 felt Energy-Pull of Observing craft; when spotted&#44accelerated straight upwards fast,6/12/2008,43.6413889,-70.2413889
9/12/1946 23:59,oak lawn,il,us,formation,15.0,15 seconds,V-formation 5 silver disks with 1 trailing behind&#44 size of small peas high &amp; fast  heading NE  bypassing Chicago  to Indiana,4/16/2005,41.7108333,-87.7580556
9/30/1946 20:30,dome,az,us,flash,40.0,30-40 sec.,observed sudden&#44very bright flash of light from large &#44flying object that appeared to be on fire.,8/5/2001,32.7552778,-114.3613889
12/25/1946 13:00,yokohama (japan),,,disk,1200,20 minutes,This is a follow-on to the report I made several years ago.  An article about the Brazilian Air Force carried an artist image:  It is t,8/24/2010,35.443708,139.638026
