Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/15/1960 22:00,bristol,va,us,disk,1200,20 minutes,BURNING disc  sighting 1960,8/28/2003,36.5963889,-82.1886111
2/1/1960 22:15,st. paul,mn,us,cigar,3,3 seconds,A cigar-shaped UFO glided down towards the earth at a 45 degree angle&#44 but was lost in the ground clutter.,3/16/2000,44.9444444,-93.0930556
2/1/1960 23:00,hartwell,ga,us,cigar,45,approx 30 to 45 seconds,My father explained an event of a large cigar-shaped object in perfect flight,4/16/2005,34.3527778,-82.9322222
2/18/1960 21:00,winston-salem,nc,us,cigar,20,20 seconds,It was on a Full Moonlit night&#44 while snowsledding&#44 a friend called to me and said &#44 &quot;look Bill&#44 what in the world is that?&quot;,8/10/1999,36.0997222,-80.2444444
3/12/1960 23:00,houston,tx,us,triangle,10800,3 hours,saw in sky made no noise lots of flashing lights observed with telescope,1/28/1999,29.7630556,-95.3630556
4/1/1960 21:00,houston,tx,us,other,300,<5 minutes,Sharp right angle turn in flight direction after stopping in mid-flight,12/19/2003,29.7630556,-95.3630556
5/1/1960 20:00,tucson,az,us,light,300,4-5 minutes,Lights only&#44 no sound&#44 moving across the night sky&#44 then making a series of perfect right angle turns&#44 like plowing a field.,9/2/2005,32.2216667,-110.9258333
5/15/1960 18:00,terre haute,in,us,other,300,5 min.,Light Bar in Clouds UFO,9/19/2002,39.4666667,-87.4138889
6/1/1960 00:00,seattle,wa,us,oval,5,5 seconds,OBJECT WAS OVAL IN SHAPE AND HAD MANY LIGHTS ON THE INSIDE PERIMETER. THE COLOR WAS LIGHT GREEN&#44 LIKE THE OLD LUMINOUS WATCHES THAT GLO,11/30/1999,47.6063889,-122.3308333
6/1/1960 02:30,yakima,wa,us,other,900,15 min,Shaped like an old fashioned oil derick-about 100 feet tall-stationary-made of pure light.  We watched it&#44along with two or three other,1/28/1999,46.6022222,-120.5047222
6/1/1960 12:00,palmdale,ca,us,disk,300,5 minutes,Summer 1960 saucer with flashing lights (antenae?) hovered above Lilac View Street then shot straight up and out of sight.,11/28/2007,34.5794444,-118.1155556
6/1/1960 12:00,sacramento,ca,us,cigar,300,5 minutes,Brother sees ship and occupants...maybe more.......,12/12/2013,38.5816667,-121.4933333
6/1/1960 13:00,new jersey (southern),nj,,cigar,240,4 minutes,Cigar shaped object dropped pieces of heated metal.  I acquired one of the pieces in 1962.  Photograph to follow.,7/11/2000,40.058324,-74.405661
6/1/1960 13:00,chadd&#39s ford,pa,,cylinder,5,5 seconds,Fast moving&#44 silent cylinder.,8/5/2012,39.865348,-75.568425
6/1/1960 16:00,victoria (canada),bc,ca,disk,2,seconds,I was a teenager&#44 15 or 16 years old&#44 at the time of the sighting.  I was standing at a bus stop&#44 in the late afternoon.,5/15/2013,46.216667,-63.483333
6/1/1960 17:00,hermosillo&#44 sonora (mexico),,,sphere,7200,2 hrs,I was in the northwest side of the town of Hermosillo Sonora (State)Mexico when i saw the Sphere up on the sky north east of the town i,3/19/2002,29.072967,-110.955919
6/1/1960 18:00,watervliet,mi,us,disk,300,4 or 5 minutes,3 Saucers seen hovering in daylight; seen clearly enough to see the lights revolving around the middle,1/22/2000,42.1866667,-86.2605556
6/1/1960 20:00,vassalboro,me,us,oval,7200,1-2 hr,Multi experiences with unknown.,6/12/2007,44.4591667,-69.6780556
6/1/1960 22:00,silverfdale,wa,,changing,1200,20 minutes,UFO seen by 12 year old girl sleeping out near Trident Submarine Base,11/28/2007,47.644539,-122.69487
6/1/1960 23:59,great bend,ks,us,other,120,2 minutes,MISSOURI INVESTIGATORS GROUP Report:  One night I  saw a White cube that glowed like a light bulb.,12/7/2006,38.3644444,-98.7644444
6/1/1960 23:59,salt lake city,ut,us,disk,300,5 min,I saw the craft in daylight hoovering over me.  I viewed it for several moments and then it went straight up at an incredible speed&#44 to,3/6/2001,40.7608333,-111.8902778
6/3/1960 18:00,santa ana,ca,us,disk,300,5 minutes,Saucer shaped craft seen June 1960 over Santa Ana&#44 California,9/2/2005,33.7455556,-117.8669444
6/6/1960 12:00,cape canaveral,fl,us,fireball,14400,4 hours,It was as if a huge ball of light zoomed down from the sky and just disappeared before my eyes.,1/11/2002,28.4055556,-80.605
6/10/1960 18:00,philadelphia,pa,us,sphere,4,3-4 seconds,SPHERE 3 TIMES MOON SIZE&#44 WITH MOVING COLORS WITH-IN IT,10/31/2003,39.9522222,-75.1641667
6/11/1960 02:00,barstow-baker,ca,,disk,300,3-5 minutes,Giant saucer crash in the mountains between Baker and Barstow&#44 California.,4/27/2004,35.117919,-116.23546
6/12/1960 14:30,great falls,mt,us,formation,1200,20 minutes,SAC at Malstrom AF Base not Concerned&#33,4/27/2004,47.5002778,-111.3
6/13/1960 02:00,quincy,ca,us,disk,120,several minutes,A lighted object was silently descending vertically into the canyon&#44 then stopped and hovered,6/12/2008,39.9369444,-120.9461111
6/15/1960 21:00,baltimore,md,us,other,300,5 minutes,Three white lights flying in formation.,8/24/2010,39.2902778,-76.6125
6/15/1960 21:45,kansas city,ks,us,disk,900,15 min,Short visit&#33,2/24/2001,39.1141667,-94.6272222
6/18/1960 23:00,chicago,il,us,oval,3,3  seconds,AS I LYE IN THE NIGHT&#44 MY EYES FOCUSED ON HEAVEN&#44 FIVE DISCS SILENTLY PASSED OVER SOMETIME ROUND ELEVEN. THESE OVAL SHAPED OBJECTS GAVE,3/2/2004,41.8500000,-87.65
6/21/1960 14:00,east bernstadt,ky,us,disk,90,90 seconds,The disc was about 30 feet across and moved silently; I was a five year old child. I was terrified and ran inside.,3/19/2009,37.1894444,-84.1177778
6/30/1960 12:00,litchfield,pa,us,other,600,10 muntes?,When I was around 10 years old I was going to where my dad was baling hay on top a hill.My brother Glenn was with me and when we ca,11/28/2007,41.9675000,-76.4305556
6/30/1960 23:59,london (uk/england),,gb,triangle,25,25 seconds,Three black triangles&#44 glide slowly over my house with strange sound and visual effect.,10/30/2006,51.514125,-0.093689
7/1/1960 12:00,unknown,nv,,disk,1800,30 minutes,Real Evidence of UFOin the 60&#39s,8/12/2008,38.80261,-116.419389
7/1/1960 19:00,windsor (canada),on,ca,other,900,12-15 minutes,Humming object with domed upper portion&#44 flat bottom&#44 numerous lights of multiple colors&#44 3 witnesses,8/11/2004,45.583333,-72.0
7/1/1960 20:00,portland,or,us,unknown,1800,15-30 min,Stationary Lights Over Portland OR Around 1960,5/15/2006,45.5236111,-122.675
7/1/1960 22:00,midland (canada),on,ca,disk,1020,17 minutes,4 disc shapped crafts over Gerogen Bay ont.,11/19/2012,44.75,-79.9
7/4/1960 21:30,new berlin,wi,us,circle,300,5 minutes,Large&#44 slow moving craft&#44 above the clouds&#44 blinked out like a lightbulb before reaching the horizon,4/27/2004,42.9763889,-88.1083333
7/7/1960 22:00,springdale/fayetteville,ar,,formation,600,10 minutes,Concerning a formation of lights over Springdale/Fayetteville during the summer of 1960 or 1961.,4/26/2000,36.138221,-94.13965
7/15/1960 01:00,la verne,ca,us,circle,1800,30 min,July 1960&#44 Pomona Ca&#44  two yellowish orange spheres observed by numerous people that reported to the local paper.,12/12/2011,34.1008333,-117.7669444
7/15/1960 10:00,pacific coast highway,ca,,unknown,7,~7 sec.,A bright dot high over the U.S. Pacific coast exhibiting rapid acceleration/deceleration and the ability to hover.,10/8/2007,34.320096,-119.381794
7/15/1960 16:00,goldsboro,nc,us,sphere,120,2 minutes,craft seen near Seymore-Johnson AFB&#44 N.C.&#44 1960,10/12/2001,35.3847222,-77.9930556
7/15/1960 21:00,amarillo,tx,us,diamond,3600,1 hour +,Texas Panhandle UFO&#39s,11/20/2001,35.2219444,-101.8308333
7/17/1960 22:00,bedford (canada),on,ca,disk,30,20-30 seconds,Iridescent blue light passes over farmer at tree top level on a summer night in the early 60s,6/12/2008,45.116667,-72.983333
7/29/1960 19:30,melbourne (australia),,au,triangle,180,3 min,1960 @ 30DEG ABOVE HORIZON 3 TRIANGULAR OBJECT IN SKY WITH ORANGE TAILS BEHIND ALL  FLYING @ LEVEL,12/12/2011,-37.813938,144.963425
8/1/1960 12:00,allentown,pa,us,cylinder,3600,1 hour,Historical color video of major USA event shows presence of UFO,7/23/2003,40.6083333,-75.4905556
8/1/1960 15:00,taftville,ct,us,disk,60,1 min,Saw a white saucer-shaped object hovering over church steeple in day time then  just faded away,4/9/2004,41.5697222,-72.0477778
8/1/1960 18:00,carteret,nj,us,cigar,600,10 minutes,Cigar shapped object made no sounds&#44 moved slowly overhead and then with tremendous speed vanished,10/30/2006,40.5772222,-74.2286111
8/1/1960 18:00,boston,ma,us,disk,1800,30 minutes,Observed strange large disk like craft.,5/15/2006,42.3583333,-71.0602778
8/10/1960 01:00,belmont,ny,us,circle,1200,15-20 minutes,a bright light followed a slow zigzag path from the horizon to the zenith then made a right angle turn,6/9/2009,42.2230556,-78.0347222
8/10/1960 18:00,watchung,nj,us,cigar,20,20 seconds,Cigar shaped object&#44 reddish brown that hummed overhead with hieroglyphics like writing in Watchung New Jersey.,9/15/2005,40.6377778,-74.4513889
8/15/1960 15:00,saugus,ma,us,circle,300.0,5 min,at ten years of age we looked at each other and said &quot;that was no weather balloon &#33,2/18/2001,42.4647222,-71.0105556
8/15/1960 16:00,framingham,ma,us,oval,1200.0,20 min,The UFO over WKOX Framingham &#44MA,12/14/2006,42.2791667,-71.4166667
8/17/1960 21:10,long beach (terminal island),ca,us,other,5.0,4-5 seconds,9/17/1960 -21:10 hours-Terminal Island&#44 Califronia&#44 Four  Crescent over LBNSY- observed 4-5 seconds above broken clouds,3/31/2008,33.7669444,-118.1883333
8/20/1960 21:30,pittsburgh,pa,us,sphere,300.0,about 5min.,A white sphere 5-7 ft. in diameter was viewed by about 35 people going form a stationary position to high rate of speed.,5/9/2003,40.4405556,-79.9961111
8/28/1960 21:00,dickinson,nd,us,circle,120.0,2 min,There was no sound no air movement and it moved off very fast .,3/21/2003,46.8791667,-102.7891667
9/5/1960 21:00,buffalo,ny,us,oval,180.0,3 minutes,Precise movements of a &quot;craft&quot; apparently observing a large tank like structure.,9/15/2005,42.8863889,-78.8786111
9/10/1960 10:00,wichita,ks,us,oval,1200.0,20 min.,MADE  ONY  A  HUMMING SOUND EVEN WHEN  IT TOOK OFF.,7/25/2004,37.6922222,-97.3372222
9/15/1960 19:00,kingsport,tn,us,circle,300.0,5 minutes,An orange&#44 circular craft drifted over the house from east to west shortly after sundown.,1/28/1999,36.5483333,-82.5619444
9/15/1960 20:30,seattle,wa,us,disk,120.0,2 min. for me&#44 longer for,Triple disc sighting prior to dusk with a light beam and possible healing. Witnessed.,4/27/2004,47.6063889,-122.3308333
9/15/1960 21:00,susanville,ca,us,,360.0,5-6 minutes,Three craft in formation&#44 high altitude&#44 lights constant across sky - unlike aircraft running lights which blink and &quot;hide&quot;,4/27/2004,40.4163889,-120.6519444
9/15/1960 21:30,barrhead (canada),ab,ca,other,1200.0,20 minutes,HBCCUFO CANADIAN REPORT:  Daddy&#44 there is a stop light sitting in the grain field.,8/28/2003,54.116667,-114.4
10/10/1960 20:00,kaneohe,hi,us,light,900,15 minutes,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan,1/22/2004,21.4180556,-157.8036111
11/2/1960 18:00,westbury,ny,us,disk,60,1 minute,Father Mother and son in car stopped in middle of street to see a saucer with lights around the rim hovering above their house.,10/31/2003,40.7555556,-73.5880556
11/11/1960 02:00,sumner (lake tapps area),wa,us,sphere,30,30 seconds,Sphere with Spikes over Lake Tapps traveling West to East in 1960,8/28/2003,47.2033333,-122.2391667
11/15/1960 22:00,kansas city,ks,us,unknown,300,5 min. (three occasions),Two witnesses see ball of light come over horizon&#44 then speed up and disappear before their eyes.,1/17/2004,39.1141667,-94.6272222
