Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
5/10/1948 19:00,scipio,in,us,sphere,10,10 seconds,Round red glowing ball going west in Northern sky.,4/16/2005,39.0791667,-85.7175
6/1/1948 23:59,napan (canada),nb,,rectangle,20,20 sec,while working on the farm they noticed a cube shape object (tumbling) by about the same speed as a plane but much lower.It was the size,3/19/2002,47.006174,-65.42088
6/15/1948 16:00,borger,tx,us,disk,10,8-10 seconds,Dull silver disk flying west at incredible speed making no sound above swimmers in pool.,2/14/2008,35.6677778,-101.3969444
6/30/1948 00:00,baltimore,md,us,oval,8,8 sec,Two UFO&quot;S  in flight over Baltimore leaving trails no sound that influence me.,4/14/2009,39.2902778,-76.6125
7/15/1948 22:00,ojai,ca,us,light,900,15 minutes,UFO sighting in Ojai&#44 CA in 1948,1/21/2008,34.4480556,-119.2419444
8/1/1948 02:00,new york city (brooklyn),ny,us,circle,600,10 minutes,A round overing craft over neighbors roof&#44 emitting a roaring sound &#44 observed fire like a jet engine beneath,9/15/2005,40.7141667,-74.0063889
8/15/1948 12:00,conshohocken,pa,us,oval,15.0,15sec,my cousin (female) and friend (male)  myself (male) app. age 10-12 yrs just finnished playing ball&#44 laying on ground on our backs looki,9/13/2002,40.0791667,-75.3019444
12/12/1948 23:30,sharpsburg,md,us,circle,180,3 minutes,Small UFO at 100&#39&#44  airspeed less than 20mph&#44 absolutely silent&#44  saw crew&#44 normal&#44 white uniforms.,3/19/2009,39.4575000,-77.7491667
