Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1985 01:00,holly,mi,us,other,900,15min,group of lihtts two circled real fast then they all shot strait up.gone,3/11/2006,42.7919444,-83.6277778
1/1/1985 21:00,largo,fl,us,other,300,5 minutes,Very large UFO&#44 irregular in shape&#44  glowing red-orange craters&#44 below cloud level&#44 no noise&#44  reported in paper as space debris.,5/11/2005,27.9091667,-82.7875
1/1/1985 23:00,caribbean sea,fl,,other,900,15 minutes,explosion and orbs in carribean waters,10/31/2003,26.575128,-80.063918
1/15/1985 01:30,atlantic ocean (canada/iceland&#44 midway between),,,light,1800,30 minutes,Flashing lighted object observed by an E-3A AWACS crew over the Mid-Atlantic,2/23/2000,-14.599413,-28.673147
1/15/1985 03:00,wampum,pa,us,circle,1800,30min,3 bright round objects hovering on side of road during bad snowstorm,9/28/2002,40.8880556,-80.3383333
1/15/1985 20:50,mcgrady (wilkes county),nc,us,changing,360,4-6 minutes,On a clear&#44 starry winter evening I observed a very unusual object in the night sky&#44 my grandfather also saw the object.,1/11/2002,36.3433333,-81.225
1/15/1985 22:00,sunbury,pa,us,unknown,420,5-7 minutes,Memory of UFO sighting in Sunbury Pennsylvania during mid 80&#39s,11/26/2003,40.8625000,-76.7947222
1/15/1985 22:30,south gate,ca,us,cylinder,15,15 seconds,Large Object hovering over house with flashing lights that were turning. 500 Lights On Object0: Yes,10/8/2007,33.9547222,-118.2111111
1/27/1985 01:30,hermiston,or,us,other,45,45 seconds,Me and my buddies were out camping&#44 when we heard a muffled bang. We looked up and there was three bright flashes of blue light&#44 then 3,2/22/2002,45.8405556,-119.2883333
2/1/1985 22:30,portland,or,us,light,900,15 mins,multiple points of light hovering? over the west hills of Portland that could disapear one at a time while I was watching them,8/5/2001,45.5236111,-122.675
2/15/1985 00:00,hinesville,ga,us,sphere,1800,30minutes,It was the unusual movement that made all who were observing the object consider it a UFO.,7/16/2006,31.8466667,-81.5961111
2/15/1985 00:00,malden,mo,us,fireball,45,45 sec.,Big Orange Ball sitting in field behind house,2/14/2006,36.5569444,-89.9663889
