Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1966 17:00,flagstaff,az,us,disk,600,10 minutes,Spotted two black disk shaped objects flying over a small nearby mountain&#44 followed by a single engine plane .,1/3/2001,35.1980556,-111.6505556
1/12/1966 23:59,leavenworth,wa,us,triangle,300,5 minutes,red triangular ufo observed on clear day,10/10/2011,47.5963889,-120.6602778
1/15/1966 22:00,fort smith,ar,,circle,3600,1 hr or more,I had just moved to Muldrow&#44 OK. and had guests from Weatherford&#44 OK there. We turned on the 10PM news&#44 and the announcer was saying th,4/16/2005,35.385924,-94.398547
1/15/1966 22:00,ft. smith,ar,,unknown,3600,1 hour,Clarification of timing of Ft. Smith&#44 AR sighting&#44 circa 1966/1967 (with additional sighting details),2/14/2010,35.385924,-94.398547
2/1/1966 01:00,randolph,oh,us,oval,10,five to ten seconds,extremely fast UFO stopping dead still in mid air with two smaller similar UFO&#39s following t,8/12/2008,41.0327778,-81.2486111
2/10/1966 18:15,kent,oh,us,disk,120,2 minutes,A scout ship sighting followed by a mother ship sighting that lasted well over an hour. .,6/18/2003,41.1536111,-81.3580556
2/13/1966 17:00,bakersfield,ca,us,disk,600,10 min,Sighting in Bakersfield of Saucer with multiple colored beams of light ...,8/5/2009,35.3733333,-119.0177778
3/15/1966 10:30,ft. worth area,tx,,cylinder,120,2 minutes,Large clyindrical object seen in Ft. Worth&#44 TX&#44 area.,10/10/2011,32.745877,-97.386775
3/15/1966 14:00,childs,md,us,circle,20,20sec.,we were driving down the road i look up to the sky&#44 sun was out but&#44there was some clouds around&#44 a big round silver shape was comeing,8/20/2001,39.6461111,-75.8719444
3/15/1966 20:00,warren,nj,,sphere,90,00:01:30,3 lights in the night sky merge briefly into one light-only to separate into 7 or 8 as they move away from each other in a circle.,12/19/2003,40.634249,-74.50048
3/15/1966 21:00,st joseph,mi,us,light,300,5 minutes,3 bright lights over Lake Michigan late 1960s,12/20/2000,42.1097222,-86.48
3/16/1966 08:00,north stonington,ct,us,disk,10,10 seconds,I saw something strange,12/12/2009,41.4408333,-71.8816667
3/16/1966 22:00,elizabeth,nj,us,chevron,60,1 minute,Silvery chevron moves across the sky and fades out of sight,9/2/2005,40.6638889,-74.2111111
3/21/1966 21:00,hillsdale,mi,us,disk,3600,1 hour?,Hillsdale Michigan&#44 large metallic disc shaped object hovered for close to an hour.,3/11/2006,41.9200000,-84.6305556
3/24/1966 22:10,el paso,tx,us,oval,20,20 seconds,Silent UFO hovered right above 5 kids.,1/19/2005,31.7586111,-106.4863889
3/26/1966 16:30,auburn,wa,us,cigar,60,1 minute,I witnessed a cigar-shaped object being &quot;chased&quot; by a military jet aircraft at dusk.,1/28/1999,47.3075000,-122.2272222
3/29/1966 20:00,roscoe,il,us,chevron,2700,45 minutes,Multiple craft over Northern Illinois interacting with each other.,4/27/2004,42.4133333,-89.0091667
3/31/1966 23:50,dearborn,mi,us,chevron,7200,1-2 hours,Sighted&#44 followed and was followed by space craft and then had and still have lump in earlobe.,8/5/2001,42.3222222,-83.1763889
3/31/1966 23:50,dearborn,mi,us,oval,1200,20 minutes,Sighted&#44 followed and was followed by spacecraft.,1/29/2002,42.3222222,-83.1763889
4/1/1966 19:00,richmond,mo,us,disk,3600,1 hour,Four Teenagers Site UFO on Country Road near Rayville&#44 Missouri in 1966.,12/2/2000,39.2786111,-93.9766667
