Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1987 00:00,castro valley,ca,us,oval,10,9-10 seconds,One single&#44 beach ball sized .... &amp;quot;red ball&amp;quot;,7/3/2013,37.6941667,-122.0852778
1/10/1987 17:00,el centro (approaching from west),ca,us,sphere,300,5 minutes,Two large&#44 apparently sperical objects&#44 glowing brightly in the deep red&#44 approached from behind&#44 passed overhead&#44 and into distance.,12/16/1999,32.7919444,-115.5622222
1/15/1987 00:00,ojai,ca,us,unknown,2,a few seconds,In 1987 a UFO passed a few feet above our car near old Creek Road in Ojai&#44 CA.,12/19/2003,34.4480556,-119.2419444
1/17/1987 06:30,llanelli (uk/wales),,gb,other,600,5/10mins,(i did a paper round so i was up early) it was a clear but chilly january morning i was looking up at the stars in my back yard i went,4/27/2004,51.676111,-4.156667
1/28/1987 04:16,dunstable (uk/england),,gb,oval,14400,4 hours,Oval shaped craft dive bombed me&#33,4/27/2004,51.883333,-0.516667
1/29/1987 03:00,kingston/amherst view (canada),on,,disk,900,10-15 min,close  really close,8/12/2008,44.223329,-76.650818
1/29/1987 22:00,las vegas,nv,us,disk,10800,3 hrs.,TWO UFO&#39S SPEND NIGHT ON MOUNTAIN&#44 SEEN THE NEXT DAY IN PLAIN DAYLIGHT,5/15/2006,36.1750000,-115.1363889
1/30/1987 13:00,east meadow,ny,us,changing,1020,15 - 17 min,ON 03/18107 photos of a black ufo&#44 that changed shape as it went from west to east&#44 were taken by my webcam.,4/27/2007,40.7138889,-73.5594444
1/30/1987 21:00,kenai,ak,us,light,5,5 seconds,Light quickly grows in intensity and then fades to nothing.,4/27/2007,60.5544444,-151.2583333
1/31/1987 17:04,black hawk,co,us,sphere,300,about 5 min,spheroid&#44 leading edge shimmering red&#44 main body whitish yellow&#44 low altitude,3/31/2008,39.7969444,-105.4933333
2/1/1987 14:00,lucas,tx,us,other,120,2 minutes,Car in the clouds.,12/2/2013,33.0841667,-96.5763889
2/3/1987 08:30,traverse city,mi,us,triangle,900,15:00,I can&#39t belive how close I was to the aircraft.,3/4/2008,44.7630556,-85.6205556
2/20/1987 01:30,bessemer,al,us,unknown,73800,aprox. 2 1/2 hrs,10/26/2011 To whom it may concern On or about Feb. 20th 1987 at about 1:30 am I had something happen I do not understand completely.,12/12/2011,33.4016667,-86.9544444
3/1/1987 01:00,revere,ma,us,light,3600,1 hour,Dancing Lights in sky as a child.,3/6/2001,42.4083333,-71.0125
3/1/1987 19:00,weaverville,nc,us,triangle,120,2 min,UFO IN ASHEVILLE N.C. 1987,1/29/2002,35.6969444,-82.5608333
3/5/1987 03:00,evansville,in,us,light,60,1 minute,I was a junior in college at the local university.  It was some time in March just before midterms.  I was sound alseep and suddenly aw,9/2/2005,37.9747222,-87.5558333
3/8/1987 12:27,ghent,wv,us,egg,600,10 minutes,It was scary&#33,4/1/2001,37.6169444,-81.115
3/10/1987 20:00,medford,ny,us,formation,300,5 minutes,Similar to lights over Phoenix,10/30/2006,40.8175000,-73.0005556
3/15/1987 03:00,scottsdale,az,us,light,180,three minuets,Bright light takes off into the skys over Scottsdale&#44 AZ in 1987,1/10/2009,33.5091667,-111.8983333
3/17/1987 21:00,new york city (bronx),ny,us,chevron,900,15 minutes,St. Patrick&#39s Day 1987 - Lights over the Bronx&#44 NY,11/28/2007,40.7141667,-74.0063889
3/23/1987 00:55,apache junction,az,us,changing,30,30 seconds,On March 23rd 1987 at 0055 a object broke up above us to the left of salt river dam&#44 and we heard a crash near weaver&#39s needle.,6/18/2004,33.4150000,-111.5488889
3/31/1987 23:00,east helena,mt,us,triangle,300,5 mins,Triange hovers over highway&#44 moves at increasing speed over highway then disappears,2/14/2006,46.5897222,-111.9147222
4/1/1987 21:30,malibu,ca,us,fireball,5,5 seconds,April&#44 1987 - Bright Bluish Crimson Ball flying over the Malibu Canyons,11/3/2005,34.0050000,-118.8091667
4/9/1987 19:20,lawrenceville,nj,us,other,480,about 8 minutes,Four octagon shape pods hooked together with pulsating lights. Most likely the bottom of the ship or objects body.,6/9/2009,40.2972222,-74.73
4/11/1987 22:00,carolina beach,nc,us,cigar,1800,30 minutes,I SAW WHAT I SAW,5/11/2005,34.0350000,-77.8938889
4/14/1987 12:00,butler,pa,us,other,45,45 seconds,I saw an unmanned craft&#44 3&#39 long fly 12&#39 over my head slower than a man walks&#44 then accelerate away at a great speed.,5/15/2006,40.8611111,-79.8955556
4/15/1987 02:00,huntingdon (canada),qc,ca,other,240,4 minutes,Pulsating&#44 emence light in Huntingdon QC,7/8/2004,45.083333,-74.183333
4/15/1987 05:00,perth (australia),,au,sphere,5,5 seconds,On a warm fresh morning in the summer of 87 i saw it suspended off the ground approx 1000yrds from me next to a main digital communicat,10/30/2006,-31.95224,115.861397
4/15/1987 16:00,seal rock,or,us,sphere,2,seconds,My wife and I are professional photographers and were doing some stock photo work at Seal Rock on the Oregon coast.  I still don&#39t know,7/30/2002,44.4991667,-124.0827778
4/16/1987 15:30,yanbu al sinaiyah (saudi arabia),,,disk,60,30sec to 1min,Awesome show of colours and wonder amidst desert sands,7/13/2005,23.984548,38.253305
4/16/1987 15:30,clearwater,fl,us,other,180,3 minutes,This is not the flying spaceship UFO&#44 but since it wasnt on the ground or identifiable this seemed the place to go. For 24 years I kept,3/10/2011,27.9655556,-82.8002778
4/17/1987 12:00,american fork,ut,us,formation,600,10 minutes,About a dozen objects flew in a diamond formation (from our perspective) from the north overhead to the south.,8/30/1999,40.3769444,-111.795
4/19/1987 22:30,carolina beach,nc,us,cigar,1800,30 minutes,I shined my bright headlights on it&#33,5/2/2011,34.0350000,-77.8938889
4/21/1987 22:30,hibbing,mn,us,circle,900,15 min.,we saw a strange light in the sky so we pulled over to the side of the road and watched in amazment as it moved with lighting speed,6/23/1999,47.4272222,-92.9375
4/22/1987 23:30,rockford,il,us,sphere,900,15 mins,Huge Orange Shaped sphere hovering about the ground about 3 feet.,9/17/2000,42.2711111,-89.0938889
4/23/1987 20:30,redmond,wa,us,cigar,300,5  minutes,orange blimp in night sky&#44 redmond Wa,4/13/2010,47.6741667,-122.1202778
4/24/1987 20:15,seattle,wa,us,changing,1200,20 minutes,Low flying Orange Blimp over Lake Washington (Seattle&#44 Madrona Park Beach),3/10/2011,47.6063889,-122.3308333
4/25/1987 14:30,bacolod city (occidental province) (philippines),,,light,120,more than 2-min/less than,Daylight &quot;disc&quot; ? Over Negros Island&#44 Philippines&#44 by amateur astronomer working on Observatory dome,1/17/2004,10.640739,122.968956
5/1/1987 23:00,winslow,me,us,unknown,900,15 minutes,This sighting happened beck in the 80&#39S in winslow maine. I was about 7 or 8 and my brother was about 10 or 11. one night i snuck into,6/3/2010,44.5469444,-69.6216667
5/5/1987 12:00,zarafshan (uzbekistan),,,sphere,6900,hour?,Large sphere the size of an apartment building hovered over a remote desert community.,9/2/2005,41.574366,64.183316
5/5/1987 21:00,natick,ma,us,disk,10,10 seconds,The object was saucer shaped since the bottom part of it was covered by the trees and there were hundreds of bright lights.,10/7/2003,42.2833333,-71.35
5/6/1987 18:15,el paso,tx,us,disk,20,15 to 20  seconds,Saw a UFO before my daily run.,2/25/2003,31.7586111,-106.4863889
5/8/1987 00:00,marble falls,tx,us,circle,600,10 minutes,Hovering white circle&#44 half the size of the full moon explodes without sound shoots up into the stars and vanishes.,12/9/2003,30.5780556,-98.2725
5/8/1987 02:00,newgale sands (uk/wales),,,light,5,5 seconds,light  &quot;answers&quot; beam shone at it.,8/28/2003,51.856389,-5.126111
5/10/1987 23:30,selden,ny,us,other,20,20 seconds,Saw a star stop make two 90 degree turns then vanish,3/21/2003,40.8663889,-73.0361111
5/14/1987 20:45,whitesburg,ky,us,rectangle,180,3 minutes,I saw two large&#44 rectangle objects&#44 moving silently outlined with small lights at 3 and 5 hundred feet in air.,1/31/2004,37.1183333,-82.8269444
5/15/1987 00:30,las vegas,nv,us,oval,120,2 mins,Las Vegas  Orbs display &quot; V&quot;  ariel perfomance in early morning sky,8/5/2001,36.1750000,-115.1363889
5/15/1987 23:00,temple,tx,us,cigar,120,2 minutes,cigar shaped ufo seen in Temple,7/5/2005,31.0980556,-97.3425
5/15/1987 23:00,island lake,il,us,light,0.01,milliseconds,4 red laser like lines,1/12/2012,42.2761111,-88.1919444
5/18/1987 22:30,evansville,in,us,other,900,10 to 15 min,i was taking my girlfrienend home it was around 1035 i was going west on brodway i was comeing up a hill and just about to pass a old c,10/10/2011,37.9747222,-87.5558333
5/20/1987 02:00,galveston,tx,us,changing,7200,1-2hours,i wrote to this site about 1 year ago and did not get a response from you.when i was 10 years old my mom called me and my brother a,10/30/2006,29.3011111,-94.7975
5/20/1987 22:00,mcpherson/lindsborg,ks,,triangle,7200,2 hours,Triangle Shape sighted.  Two hours of time lost during the encounter.,6/2/2013,38.573618,-97.674484
5/21/1987 02:00,san antonio,tx,us,disk,600,10 minutes,We saw a UFO that night that was about 400 feet long that made no sound and had a beacon of light shining out of it like it was looking,6/12/2008,29.4238889,-98.4933333
5/28/1987 19:00,schenectady,ny,us,chevron,600,ten minutes,At dusk the craft lingered over land&#44 close to the Knolls Atomic Power Lab&#44 Schenectady&#44 NY town of Niskayuna,1/28/1999,42.8141667,-73.94
5/28/1987 20:30,burnside,ky,us,circle,300,5 minutes,cant explain  thank about it almost everyday for 23 years,4/13/2010,36.9888889,-84.6
6/1/1987 00:00,iowa,la,us,unknown,15,15 sec.,A bright light came through the ceiling and paralyzed me and my friend.,11/28/2007,30.2366667,-93.0136111
6/1/1987 01:00,coos bay,or,us,disk,3600,1 hour,Dome type object went straight up with a little round object along side and below.Object kept moving up and down side to side and chang,4/2/1999,43.3666667,-124.2166667
6/1/1987 02:00,llandovery (uk/wales),,gb,other,1800,30 minutes,Fairy lights at speed and fold over UFO,2/14/2006,51.983333,-3.783333
6/1/1987 02:30,san francisco,ca,us,other,14400,2-4 hours,Abduction case&#44with 1 twist. Aliens left  unearthly communications object as proof of contact&#33  500 Lights On Object0: Yes,11/28/2007,37.7750000,-122.4183333
6/1/1987 03:00,olympia,wa,us,egg,300,5 minutes,sighting years ago in WA,3/19/2009,47.0380556,-122.8994444
6/1/1987 06:00,miami,fl,us,light,1200,20 min,Sighting near turkey point nuclear power plant Miami&#44 Fl.,8/7/2007,25.7738889,-80.1938889
6/1/1987 06:45,las vegas,nv,us,unknown,15,00:15,Moon appears to split in half,8/5/2001,36.1750000,-115.1363889
