Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/2/1950 00:00,new york city,ny,us,oval,900,15min,good and true info. 500 Lights On Object0: Yes,4/27/2007,40.7141667,-74.0063889
4/15/1950 08:00,arkansas (eastern; on us hwy 70 abt 75 m w/o memphis&#44 tn),ar,,disk,180,1-3 minutes,Disk shaped unmoving over highway for 1-3 minutes in eastern Arkansas&#44 est. size about 200 feet.,12/16/2005,35.20105,-91.831833
4/15/1950 14:00,waynesborough,va,,disk,300,5 minutes,Fishburne Military School:  9 students witness saucer-shaped object from ROTC Drill Field in 1950.,11/19/2012,38.068469,-78.889468
6/1/1950 12:00,mexicali (mexico),,,disk,60,1 minute,Large disk observed by townspeople in large Mexican city,12/16/2005,32.624539,-115.452262
6/1/1950 16:00,philadelphia,ms,us,disk,600,ten minutes or less,Childhood sighting of disk witnessed by mother and sons.,6/12/2008,32.7713889,-89.1166667
6/1/1950 20:00,pittsburgh,pa,us,oval,1500,20/25 minutes,One larger white object &amp; 2 smaller round white objects.,2/14/2006,40.4405556,-79.9961111
6/7/1950 20:00,kensington,md,us,oval,600,10 minutes,Reflective oval seen hovering over Washington D.C.,11/28/2007,39.0255556,-77.0766667
6/8/1950 10:00,kansas city,mo,us,disk,900,15minutes,The ufo came from the East&#44 as I was looking North. It hovered briefly above the house across the street from me; that house was on a s,12/16/2005,39.0997222,-94.5783333
6/10/1950 23:59,napa,ca,us,disk,120,2 minutes,Saw a circular craft approximately 30 foot in diameter.  It was glowing a green/purple rather subdued.  I did not like the color.  It h,12/12/2013,38.2972222,-122.2844444
6/12/1950 10:30,budapest (hungary),,,circle,60,1min,The &#39object&#39 made an extremely high speed turn which would be impossible with our traditional thechnology even today.,1/31/2004,47.497912,19.040235
6/15/1950 13:00,grosse pointe park,mi,us,oval,600,10 minutes,1951-52  Grosse Pointe&#44 MI. Three saucer shaped objects entering into a large oval shapped object.,11/28/2007,42.3758333,-82.9375
6/15/1950 20:00,bonifay (near),fl,us,disk,10,10 seconds,The objects were discs&#44 white&#44 and I estimate were moving around 100 mph in a southerly direction.,1/12/2012,30.7916667,-85.6797222
6/20/1950 10:00,booneville,ms,us,disk,4,4 sec,Youngster observes shiny disc-shaped craft,7/23/2000,34.6580556,-88.5666667
6/20/1950 17:00,galveston,tx,us,sphere,600,5 to 10 minutes,Large orange-red  lowering &quot;Moon&quot; object,10/30/2006,29.3011111,-94.7975
6/30/1950 16:00,lac du flambeau,wi,us,disk,30,30 seconds,saucer like disc submerging from waters&#44 disapears instantaneously&#44 water boils before submerging.,3/19/2009,45.9697222,-89.8919444
6/30/1950 17:30,florence (??)),co,us,light,0.5,.5 sec,The move classic Rio Grand &#44 in the sean between John Wayne and Ohair where he gives her flowers UFO moves in from uper left to right b,1/21/2008,38.3902778,-105.1180556
6/30/1950 17:30,florence (??),co,us,disk,3,2-3 seconds,Possible ufo in a western movie.  (NUFORC Note:  &quot;Rio Grande&#44&quot; with John Wayne.  Reported to NUFORC before.  PD)),1/21/2008,38.3902778,-105.1180556
7/2/1950 13:00,coeur d&#39alene,id,us,cigar,10,10 seconds,Bright Orange&#44 Cigar-Shapped Object Travelling at 18&#44000 MPH,8/12/2008,47.6777778,-116.7794444
7/2/1950 21:00,bay st. louis,ms,,light,181800,5 1/2 hours,It was the July 4th weekend&#44 Bay St Louis MS was deserted&#44 the nearby Movie theater and bar were closed  early&#44 and the locals had left,3/2/2004,30.308808,-89.330046
7/10/1950 20:30,east palestine (outside of),oh,us,light,300,approx 5 min,Lights observed moving in and out of a thunderstorm,4/28/2001,40.8338889,-80.5405556
7/15/1950 21:30,newark,nj,us,sphere,300,5 min,As a student of astronomy&#44 this writer witnessed ufo&#39s performing astounding aerial maneuvers. Silent propulsion. Technical performance,5/24/1999,40.7355556,-74.1727778
7/15/1950 23:00,los padres national forest,ca,,formation,20,20 seconds,Is&#39nt it fun how the Gov. tries to block things,12/23/2002,34.597241,-119.510771
7/20/1950 21:30,smithport,pa,us,disk,120,two min,This huge craft came over the hill from Crosbe to rute 1 for about two min. It was orang then it shot away an no sound.   IN 1962  at n,12/12/2011,40.8358333,-78.8766667
8/1/1950 04:00,louisville,ky,us,other,60,1 minute,In 1953&#44 at the age of 3 years old I was Contacted by what is described as a &quot;GREY&quot;.  This happened in Ky in 1953.,10/19/2011,38.2541667,-85.7594444
8/15/1950 14:00,stanfield,or,us,disk,180.0,2 - 3 minutes,In 1950&#44 Eastern Oregon&#44 I saw one silver&#44 oval shaped disk hover for approximately 2 - 3 minutes before quickly accelerating away.,10/31/2008,45.7805556,-119.2161111
10/1/1950 11:00,pikeville,ky,us,disk,600,hr,SEVENTY SOME  FLYING DISK OBSERVED IN  1950,4/16/2005,37.4791667,-82.5188889
10/15/1950 15:00,sandy hook/highlands,nj,,triangle,300,5 minutes,Triangles over New York Harbor 1950,10/30/2006,40.443164,-73.989861
12/12/1950 22:00,half moon bay,ca,us,other,600,10 minutes,3 blips on a military radar screen flew off the radar screen when military aircraft  approached them.,6/12/2008,37.4636111,-122.4275
