Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1989 23:59,wagoner,ok,us,light,120,1-2 mins,My friend and I who were both 16 at the time were driving to her house on state highway 51 westbound. We were going to be late for curf,3/7/1998,35.9594444,-95.3691667
1/5/1989 00:15,philadelphia,pa,us,cigar,600,10 minutes,An object followed my car parallel to me then stopped when I stopped &amp; observed me for 5 minutes.,10/30/2006,39.9522222,-75.1641667
1/10/1989 23:00,jackson,nj,us,fireball,600,10...mins,I wonder now why we both didn&#39t make a big deal about it,2/22/2002,39.7763889,-74.8627778
1/10/1989 23:30,san diego,ca,us,light,15,00:15,Intentional formation of lights,12/19/2003,32.7152778,-117.1563889
1/11/1989 20:30,shotts (uk/scotland),,gb,rectangle,60,1 minute,Low flying object over a small town in Central Scotland.  Completely silent.,10/8/2007,55.833333,-3.85
1/15/1989 15:00,wenatchee,wa,us,changing,180,3 minutes,Flying plane stops&#44 changes shape&#44 and then crashes,10/30/2012,47.4236111,-120.3091667
1/15/1989 22:00,san bernardino,ca,us,,300,5 min,The alien in my room,2/18/2001,34.1083333,-117.2888889
1/17/1989 20:00,laramie,wy,us,other,900,15 minutes,Silent lighted craft flies over house&#44 witness later discovers body marks.,10/31/2003,41.3113889,-105.5905556
1/19/1989 20:15,laramie,wy,us,disk,600,10 minutes,Witness is lured out of house&#44 silent craft glides overhead&#44 more body marks are discovered.,10/31/2003,41.3113889,-105.5905556
1/20/1989 18:00,bourbonnais,il,us,other,180,3 min,Large craft 2000 feet above ground,4/27/2007,41.1416667,-87.875
1/29/1989 23:00,montgomery,il,us,unknown,5,3-5seconds,This happened 15 years ago. I had just finished helping my girlfriend move into her new home&#44 and was heading home myself. I was travel,1/31/2004,41.7305556,-88.3458333
2/1/1989 12:00,waldorf,md,us,oval,3600,1 hour,very large oval -mushroom shaped metallic object&#44moving up and down very fast&#44 then up close moving very slow&#44with a tube looking obj,2/14/2010,38.6244444,-76.9394444
2/4/1989 23:30,mahogany hammock (everglades  park),fl,,disk,720,12 min.,Orange/gold colored glowing metallic disk&#44 1/4 mile away&#44 only 50-100 ft above ground&#44 slow moving&#44 no sound&#44 no navigation lights.,11/4/2002,25.322063,-80.833679
2/10/1989 18:00,mont alto,pa,us,oval,120,2 minutes,Huge oval shaped craft which had an amber glow quietly flew at tree top level over my friend and I.,8/10/1999,39.8441667,-77.5586111
2/11/1989 22:00,chicago,il,us,other,8100,2 hours and 15 minutes,February 1989 Roger&#39s Park Chicago Northside 10PM -12:15AM Very Bright Lights/Bell Shape Craft,3/2/2004,41.8500000,-87.65
2/12/1989 19:00,kenosha,wi,us,other,600,10 minutes,Three large white lights on the underside of an mini van sized ufo at approximately 150 feet away for about ten minutes.,5/15/2006,42.5847222,-87.8211111
2/15/1989 05:00,savannah,ga,us,other,60,one minute?,Siting of Vee shaped craft in Savannah GA (1998-9?),4/2/1999,32.0833333,-81.1
2/15/1989 22:00,shiocton,wi,us,other,3,3 seconds,Object was silent with a soft yellow glow to it traveling in a straight line at incredible velocity.,5/15/2013,44.4447222,-88.5788889
2/27/1989 23:00,eastern border (west of&#44 on i-70),ut,,unknown,600,10 minutes,An unknown shaped object about the size of a locomotive engine moving at very high speeds without lights.  It was &quot;hugging&quot; the highway,9/6/2002,39.32098,-111.093731
